Concurrency, avg, rps
1, 0.00302916278839, 319.406892359
101, 0.184008413124, 530.076662436
201, 0.439346879816, 436.503728256
301, 1.12678363185, 255.930565713
401, 1.12649372497, 340.485223655
501, 1.1847636065, 403.091907943
601, 1.11495781765, 502.134070758
701, 2.0705883759, 304.183493392
801, 2.92270646749, 249.550273864
901, 2.01262658572, 396.755933308
50000
